北方广电,#genre#
北京卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-BJWS-HD/7999000/7999000.m3u8
天津卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-TJWS-HD/7999000/7999000.m3u8
辽宁卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-LNWS-HD/7999000/7999000.m3u8
江苏卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-JSWS-HD/7999000/7999000.m3u8
湖南卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-HUNWS-HD/7999000/7999000.m3u8
湖北卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-HBWS-HD/7999000/7999000.m3u8
东方卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-DFWS-HD/7999000/7999000.m3u8
安徽卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-AHWS-HD/7999000/7999000.m3u8
浙江卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-ZJWS-HD/7999000/7999000.m3u8
吉林卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-JLWS-HD/7999000/7999000.m3u8
黑龙江卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-HLJWS-HD/7999000/7999000.m3u8
山东卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-SDWS-HD/7999000/7999000.m3u8
河南卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-HNWS-HD/7999000/7999000.m3u8
山西卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-SXWS-SD/7999000/7999000.m3u8
江西卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-JXWS-HD/7999000/7999000.m3u8
东南卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-DNWS-HD/7999000/7999000.m3u8
广东卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-GDWS-HD/7999000/7999000.m3u8
深圳卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-SZWS-HD/7999000/7999000.m3u8
贵州卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-GZWS-HD/7999000/7999000.m3u8
四川卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-SCWS-HD/7999000/7999000.m3u8
云南卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-YNWS-HD/7999000/7999000.m3u8
内蒙古卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-NMGWS-SD/7999000/7999000.m3u8
陕西卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-SHXWS-SD/7999000/7999000.m3u8
宁夏卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-NXWS-SD/7999000/7999000.m3u8
甘肃卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-GSWS-SD/7999000/7999000.m3u8
青海卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-QHWS-SD/7999000/7999000.m3u8
广西卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-GXWS-SD/7999000/7999000.m3u8
海南卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-HANWS-SD/7999000/7999000.m3u8
新疆卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-XJWS-SD/7999000/7999000.m3u8
西藏卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-XZWS-SD/7999000/7999000.m3u8
兵团卫视,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-BTWS-SD/7999000/7999000.m3u8
CHC影迷电影,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-HCGQ-HD/7999000/7999000.m3u8
CHC家庭影院,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-JTYY-HD/7999000/7999000.m3u8
CHC动作电影,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-DZDY-HD/7999000/7999000.m3u8
重温经典,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-CWJD-HD/7999000/7999000.m3u8
北京纪实,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-JSKJ-HD/7999000/7999000.m3u8
东方财经,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-DFCJ-HD/7999000/7999000.m3u8
金鹰卡通,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-JYKT-HD/7999000/7999000.m3u8
劲爆体育,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-JBTY-HD/7999000/7999000.m3u8
游戏风云,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-YXFY-HD/7999000/7999000.m3u8
都市剧场,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-DSJC-HD/7999000/7999000.m3u8
魅力足球,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-MLZQ-HD/7999000/7999000.m3u8
生活时尚,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-SHSS-HD/7999000/7999000.m3u8
动漫秀场,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-DMXC-HD/7999000/7999000.m3u8
乐游频道,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-LY-HD/7999000/7999000.m3u8
快乐垂钓,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-KLCD-HD/7999000/7999000.m3u8
央视台球,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-YSTQ-HD/7999000/7999000.m3u8
电视指南,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-DSZN-HD/7999000/7999000.m3u8
央视精品,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-YSJP-HD/7999000/7999000.m3u8
风云音乐,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-FYYY-HD/7999000/7999000.m3u8
怀旧剧场,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-HJJC-HD/7999000/7999000.m3u8
风云足球,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-FYZQ-HD/7999000/7999000.m3u8
风云剧场,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-FYJC-HD/7999000/7999000.m3u8
第一剧场,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-DYJC-HD/7999000/7999000.m3u8
世界地理,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-SJDL-HD/7999000/7999000.m3u8
武术世界,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-WSSJ-HD/7999000/7999000.m3u8
兵器科技,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-BQKJ-HD/7999000/7999000.m3u8
高尔夫网球,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-GEFWQ-HD/7999000/7999000.m3u8
女性时尚,http://cs.5gtv.hbcatv.cn:9093/live/OP001/IP-NXSS-HD/7999000/7999000.m3u8
特色频道,#genre#,https://e.erw.cc/e.xml
北京卫视4K,http://qtest-play.btime.cn/live/btv_sn_20170706_s41_20m.m3u8
澳視衛星台-HD,https://149.102.97.122/ch3/ch3.live/playlist.m3u8
澳視澳門台-HD,https://149.102.97.122/ch1/ch1.live/playlist.m3u8
澳視葡文台-HD,https://149.102.97.122/ch2/ch2.live/playlist.m3u8
澳門資訊台-HD,https://149.102.97.122/ch5/info_ch5.live/playlist.m3u8
澳門綜藝台-HD,https://149.102.97.122/ch6/hd_ch6.live/playlist.m3u8
澳門體育台-HD,https://149.102.97.122/ch4/sport_ch4.live/playlist.m3u8
浙江卫视,https://zwebl02.cztv.com/live/channel011080Pnew.m3u8?auth_key=2524708799-ca798ce95dda85537a46f2eb5be537be-0-ec2283c392de5aa07c72e770576478bb       
浙江钱江,https://zwebl02.cztv.com/live/channel021080Pnew.m3u8?auth_key=2524708799-ca798ce95dda85537a46f2eb5be537be-0-00cc26403bae15d2d0ef1c4380e4664f       
浙江经济生活,https://zwebl02.cztv.com/live/channel031080Pnew.m3u8?auth_key=2524708799-ca798ce95dda85537a46f2eb5be537be-0-b4fe6682a137b6739ec212c93c5a8def            
浙江教科影视,https://zwebl02.cztv.com/live/channel041080Pnew.m3u8?auth_key=2524708799-ca798ce95dda85537a46f2eb5be537be-0-9c4515bba4ac0ad426356b260449477f             
浙江民生休闲,https://zwebl02.cztv.com/live/channel061080Pnew.m3u8?auth_key=2524708799-ca798ce95dda85537a46f2eb5be537be-0-282c3b532279f2b8bad8ebde1b41632f            
浙江新闻,https://zwebl02.cztv.com/live/channel071080Pnew.m3u8?auth_key=2524708799-ca798ce95dda85537a46f2eb5be537be-0-d7a412e81007d77a8c8e9b582efd7ee3       
浙江少儿,https://zwebl02.cztv.com/live/channel081080Pnew.m3u8?auth_key=2524708799-ca798ce95dda85537a46f2eb5be537be-0-668e5a5a00e74f14f426cc55210a4ff9      
浙江国际,https://zwebl02.cztv.com/live/channel101080Pnew.m3u8?auth_key=2524708799-ca798ce95dda85537a46f2eb5be537be-0-895310d00bcd28384a9238088f08375a
浙江之江纪录,https://zwebl02.cztv.com/live/channel121080Pnew.m3u8?auth_key=2524708799-ca798ce95dda85537a46f2eb5be537be-0-efed1fc72c5cdbd9a29cd69eaaddfee1           
百色综合频道,http://play-a2.quklive.com:80/live/1741009694237289.m3u8
苏州4k,https://live-auth.51kandianshi.com/szgd/csztv4k_hd.m3u8
苏州文化生活,https://live-auth.51kandianshi.com/szgd/csztv3.m3u8
苏州新闻综合,https://live-auth.51kandianshi.com/szgd/csztv1.m3u8
苏州生活资讯,https://live-auth.51kandianshi.com/szgd/csztv5.m3u8
苏州社会经济,https://live-auth.51kandianshi.com/szgd/csztv2.m3u8
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
龙华电影,https://cdn8.163189.xyz/live/lhdy/stream.m3u8
